Nota_Fiscal,Protocolo,Data_Consulta,Arquivo_XML
35251047508411094037551100000220031339359138,135252999682258,21/10/2025 14:48:40,35251047508411094037551100000220031339359138.xml
35251047508411094037551100000220301339362217,135252999690192,21/10/2025 14:48:52,35251047508411094037551100000220301339362217.xml
35251047508411102900551100000257661339479187,135253000009587,21/10/2025 14:49:04,35251047508411102900551100000257661339479187.xml
35251047508411094037551100000218421339342062,135252999650121,21/10/2025 14:49:17,35251047508411094037551100000218421339342062.xml
35251047508411094037551100000220211339359497,135252999685516,21/10/2025 14:49:31,35251047508411094037551100000220211339359497.xml
35251047508411094037551100000218541339346352,135252999656584,21/10/2025 14:49:43,35251047508411094037551100000218541339346352.xml
35251047508411102153551100000214721339479439,135253000009892,21/10/2025 14:49:55,35251047508411102153551100000214721339479439.xml
35251047508411102900551100000258134339481498,135253000443286,21/10/2025 14:50:09,35251047508411102900551100000258134339481498.xml
35251047508411094037551100000217281339328073,135252999612934,21/10/2025 14:50:22,35251047508411094037551100000217281339328073.xml
35251047508411094037551100000218861339345600,135252999662257,21/10/2025 14:50:37,35251047508411094037551100000218861339345600.xml
35251047508411094037551100000218891339348962,135252999662681,21/10/2025 14:50:49,35251047508411094037551100000218891339348962.xml
35251047508411094037551100000218231339341257,DOWNLOAD_FALHOU_APOS_INTERVENCAO,21/10/2025 14:51:48,N/A
35251047508411094037551100000217161339327033,135252999604185,21/10/2025 14:51:57,35251047508411094037551100000217161339327033.xml
35251047508411094037551100000220871339371081,135252999721639,21/10/2025 14:52:10,35251047508411094037551100000220871339371081.xml
35251047508411094037551100000217961339337218,135252999640534,21/10/2025 14:52:22,35251047508411094037551100000217961339337218.xml
35251047508411094037551100000217981339338723,135252999640542,21/10/2025 14:52:35,35251047508411094037551100000217981339338723.xml
35251047508411094037551100000220231339360708,135252999685531,21/10/2025 14:52:47,35251047508411094037551100000220231339360708.xml
35251047508411239884551100000262341339549180,135253000096595,21/10/2025 14:53:01,35251047508411239884551100000262341339549180.xml
35251047508411094037551100000216761339315577,135252999566772,21/10/2025 14:53:12,35251047508411094037551100000216761339315577.xml
35251047508411094037551100000218921339349212,135252999664100,21/10/2025 14:53:25,35251047508411094037551100000218921339349212.xml
35251047508411094037551100000218941339349101,135252999665488,21/10/2025 14:53:37,35251047508411094037551100000218941339349101.xml
35251047508411094037551100000217131339327317,135252999604205,21/10/2025 14:53:50,35251047508411094037551100000217131339327317.xml
35251047508411000903551100000309871339428060,135252999852201,21/10/2025 14:54:02,35251047508411000903551100000309871339428060.xml
35251047508411094037551100000219741339356178,135252999678443,21/10/2025 14:54:16,35251047508411094037551100000219741339356178.xml
35251047508411094037551100000218191339341041,135252999646608,21/10/2025 14:54:28,35251047508411094037551100000218191339341041.xml
35251047508411094037551100000217111339325468,DOWNLOAD_FALHOU_APOS_INTERVENCAO,21/10/2025 14:55:48,N/A
