chave_acesso,fiscal_doc_no,series_no,location_id,chave_aux,status,reprocessado,data_consulta,protocolo,checkbox,codigo,numero_documento,chave_consulta,tipo_documento,data_processamento,icone1,icone2,icone3,icone4,icone5,valor_total,valor_oculto,data_emissao,id_interno,nome_empresa,oculto,observacao,status_limpo,observacao_completa,cor_status,checkbox_value
47508411000407,37951,110,130,NF001,Rejeitado,Sim,22/10/2025 13:57:11,0,,110,000037951,47508411000407,DPEC/EPEC,08/10/2025 17:15:13,,,,,,"R$ 22,76",,14/10/2025 16:05:23,11897164,CIA BRASILEIRA DE DISTRIBUICAO,,Rejeicao: Data de Emissao muito atrasada,Rejeitado ,Rejeicao: Data de Emissao muito atrasada,VERMELHO-REJEITADO,104737316
47508411099004,20327,110,132,NF002,Rejeitado,Sim,22/10/2025 13:57:11,0,,110,000020327,47508411099004,DPEC/EPEC,08/10/2025 22:35:47,,,,,,"R$ 121,41",,14/10/2025 16:05:05,11930894,CIA BRASILEIRA DE DISTRIBUICAO,,Rejeicao: Data de Emissao muito atrasada,Rejeitado ,Rejeicao: Data de Emissao muito atrasada,VERMELHO-REJEITADO,104737155
47508411099004,20338,110,132,NF003,Rejeitado,Sim,22/10/2025 13:57:11,0,,110,000020338,47508411099004,DPEC/EPEC,08/10/2025 22:35:50,,,,,,"R$ 37,20",,14/10/2025 16:05:01,11930897,CIA BRASILEIRA DE DISTRIBUICAO,,Rejeicao: Data de Emissao muito atrasada,Rejeitado ,Rejeicao: Data de Emissao muito atrasada,VERMELHO-REJEITADO,104737149
47508411099004,20349,110,132,NF004,Rejeitado,Sim,22/10/2025 13:57:11,0,,110,000020349,47508411099004,DPEC/EPEC,08/10/2025 22:35:56,,,,,,"R$ 4,77",,14/10/2025 16:05:01,11930903,CIA BRASILEIRA DE DISTRIBUICAO,,Rejeicao: Data de Emissao muito atrasada,Rejeitado ,Rejeicao: Data de Emissao muito atrasada,VERMELHO-REJEITADO,104737151
47508411099004,20394,110,132,NF005,Rejeitado,Sim,22/10/2025 13:57:11,0,,110,000020394,47508411099004,DPEC/EPEC,08/10/2025 22:36:16,,,,,,"R$ 39,33",,14/10/2025 16:05:05,11930981,CIA BRASILEIRA DE DISTRIBUICAO,,Rejeicao: Data de Emissao muito atrasada,Rejeitado ,Rejeicao: Data de Emissao muito atrasada,VERMELHO-REJEITADO,104737156
47508411099004,20429,110,132,NF006,Rejeitado,Sim,22/10/2025 13:57:11,0,,110,000020429,47508411099004,DPEC/EPEC,08/10/2025 22:36:28,,,,,,"R$ 25,03",,14/10/2025 16:05:01,11931075,CIA BRASILEIRA DE DISTRIBUICAO,,Rejeicao: Data de Emissao muito atrasada,Rejeitado ,Rejeicao: Data de Emissao muito atrasada,VERMELHO-REJEITADO,104737150
47508411099004,20470,110,132,NF007,Rejeitado,Sim,22/10/2025 13:57:11,0,,110,000020470,47508411099004,DPEC/EPEC,08/10/2025 22:36:44,,,,,,"R$ 21,67",,14/10/2025 16:05:05,11931188,CIA BRASILEIRA DE DISTRIBUICAO,,Rejeicao: Data de Emissao muito atrasada,Rejeitado ,Rejeicao: Data de Emissao muito atrasada,VERMELHO-REJEITADO,104737154
47508411099004,20494,110,132,NF008,Rejeitado,Sim,22/10/2025 13:57:11,0,,110,000020494,47508411099004,DPEC/EPEC,08/10/2025 22:36:52,,,,,,"R$ 3,83",,14/10/2025 16:05:03,11931196,CIA BRASILEIRA DE DISTRIBUICAO,,Rejeicao: Data de Emissao muito atrasada,Rejeitado ,Rejeicao: Data de Emissao muito atrasada,VERMELHO-REJEITADO,104737152
47508411099004,20536,110,132,NF009,Rejeitado,Sim,22/10/2025 13:57:11,0,,110,000020536,47508411099004,DPEC/EPEC,08/10/2025 22:37:06,,,,,,"R$ 13,82",,14/10/2025 16:05:11,11931277,CIA BRASILEIRA DE DISTRIBUICAO,,Rejeicao: Data de Emissao muito atrasada,Rejeitado ,Rejeicao: Data de Emissao muito atrasada,VERMELHO-REJEITADO,104737168
47508411099004,20551,110,132,NF010,Rejeitado,Sim,22/10/2025 13:57:11,0,,110,000020551,47508411099004,DPEC/EPEC,08/10/2025 22:37:10,,,,,,"R$ 16,38",,14/10/2025 16:05:01,11931282,CIA BRASILEIRA DE DISTRIBUICAO,,Rejeicao: Data de Emissao muito atrasada,Rejeitado ,Rejeicao: Data de Emissao muito atrasada,VERMELHO-REJEITADO,104737148
47508411099004,20565,110,132,NF011,Rejeitado,Sim,22/10/2025 13:57:11,0,,110,000020565,47508411099004,DPEC/EPEC,08/10/2025 22:37:13,,,,,,"R$ 6,93",,14/10/2025 16:05:25,11931287,CIA BRASILEIRA DE DISTRIBUICAO,,Rejeicao: Data de Emissao muito atrasada,Rejeitado ,Rejeicao: Data de Emissao muito atrasada,VERMELHO-REJEITADO,104737192
47508411099004,20583,110,132,NF012,Rejeitado,Sim,22/10/2025 13:57:11,0,,110,000020583,47508411099004,DPEC/EPEC,08/10/2025 22:37:17,,,,,,"R$ 4,19",,14/10/2025 16:05:16,11931352,CIA BRASILEIRA DE DISTRIBUICAO,,Rejeicao: Data de Emissao muito atrasada,Rejeitado ,Rejeicao: Data de Emissao muito atrasada,VERMELHO-REJEITADO,104737176
47508411099004,20652,110,132,NF013,Rejeitado,Sim,22/10/2025 13:57:11,0,,110,000020652,47508411099004,DPEC/EPEC,08/10/2025 22:37:43,,,,,,"R$ 2,11",,14/10/2025 16:05:23,11931495,CIA BRASILEIRA DE DISTRIBUICAO,,Rejeicao: Data de Emissao muito atrasada,Rejeitado ,Rejeicao: Data de Emissao muito atrasada,VERMELHO-REJEITADO,104737187
47508411099004,20681,110,132,NF014,Rejeitado,Sim,22/10/2025 13:57:11,0,,110,000020681,47508411099004,DPEC/EPEC,08/10/2025 22:37:55,,,,,,"R$ 3,09",,14/10/2025 16:05:14,11931539,CIA BRASILEIRA DE DISTRIBUICAO,,Rejeicao: Data de Emissao muito atrasada,Rejeitado ,Rejeicao: Data de Emissao muito atrasada,VERMELHO-REJEITADO,104737174
47508411099004,20718,110,132,NF015,Rejeitado,Sim,22/10/2025 13:57:11,0,,110,000020718,47508411099004,DPEC/EPEC,08/10/2025 22:38:12,,,,,,"R$ 4,14",,14/10/2025 16:06:55,11931645,CIA BRASILEIRA DE DISTRIBUICAO,,Rejeicao: Data de Emissao muito atrasada,Rejeitado ,Rejeicao: Data de Emissao muito atrasada,VERMELHO-REJEITADO,104737473
47508411099004,20739,110,132,NF016,Rejeitado,Sim,22/10/2025 13:57:11,0,,110,000020739,47508411099004,DPEC/EPEC,08/10/2025 22:38:18,,,,,,"R$ 9,92",,14/10/2025 16:06:57,11931678,CIA BRASILEIRA DE DISTRIBUICAO,,Rejeicao: Data de Emissao muito atrasada,Rejeitado ,Rejeicao: Data de Emissao muito atrasada,VERMELHO-REJEITADO,104737475
